,statename,distname,min_tropospheric_NO2_column_number_density,mean_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
0,Uttarakhand,Nainital,1.6851862e+18,1.0012285e+19,2.138551e+19
1,Uttarakhand,Dehradun,2.1089404e+18,1.0488013e+19,2.7900514e+19
2,Uttarakhand,Almora,1.634617e+18,7.5895654e+18,1.386915e+19
3,Uttarakhand,Champawat,1.3532667e+18,8.260874e+18,1.8205153e+19
4,Uttarakhand,Uttarkashi,-3.98099e+17,4.0141924e+18,1.4828332e+19
5,Uttarakhand,Garhwal,1.2303042e+18,7.991946e+18,2.0979203e+19
6,Uttarakhand,Hardwar,3.6464212e+18,1.7732784e+19,4.2811913e+19
7,Uttarakhand,Rudraprayag,-7.5805204e+17,5.44253e+18,1.2466511e+19
8,Uttarakhand,Tehri Garhwal,-6.395199e+17,6.966883e+18,2.0736721e+19
9,Uttarakhand,Bageshwar,8.3611716e+17,5.6674393e+18,1.1415842e+19
10,Uttarakhand,Pithoragarh,1.2420071e+18,4.2880376e+18,1.2092609e+19
11,Uttarakhand,Chamoli,4.836014e+17,4.111284e+18,1.3683151e+19
12,Uttarakhand,Udham Singh Nagar,5.661127e+18,1.6436442e+19,3.2029392e+19
13,Himachal Pradesh,Chamba,-2.5251458e+18,1.2793031e+18,1.0594794e+19
14,Himachal Pradesh,Shimla,-9.680081e+17,5.505788e+18,1.7439699e+19
15,Himachal Pradesh,Bilaspur,9.7060695e+17,2.625678e+19,1.5497513e+20
16,Himachal Pradesh,Kangra,-1.9292802e+18,6.1917337e+18,2.6207113e+19
17,Himachal Pradesh,Lahul & Spiti,-1.8987923e+18,1.893796e+17,3.9234624e+18
18,Himachal Pradesh,Una,5.541882e+18,1.4097635e+19,3.7341645e+19
19,Himachal Pradesh,Solan,2.2255421e+18,1.9991483e+19,4.0265325e+19
20,Himachal Pradesh,Sirmaur,6.965046e+17,1.0738441e+19,4.0155295e+19
21,Himachal Pradesh,Kinnaur,-5.3444676e+17,2.2055821e+18,8.659044e+18
22,Himachal Pradesh,Mandi,-1.2756457e+16,1.0146642e+19,5.9327686e+19
23,Himachal Pradesh,Kullu,-1.4545141e+18,2.5920495e+18,1.2441452e+19
24,Himachal Pradesh,Hamirpur,3.691752e+18,1.5928452e+19,3.0746567e+19
25,Jammu & Kashmir,DATA NOT AVAILABLE,-9.619493e+18,1.870692e+16,2.145397e+19
26,Jammu & Kashmir,Anantnag,-2.2546801e+18,2.3453218e+18,1.5322752e+19
27,Jammu & Kashmir,Baramula,-3.683538e+18,4.6847486e+18,1.342888e+19
28,Jammu & Kashmir,Kulgam,-2.667811e+17,4.7077696e+18,1.3323449e+19
29,Jammu & Kashmir,Shupiyan,1.2605464e+18,6.106786e+18,1.1315734e+19
30,Jammu & Kashmir,Reasi,-4.8650454e+18,2.8260264e+18,1.2208564e+19
31,Jammu & Kashmir,Rajouri,-2.9568174e+18,4.6150225e+18,1.3925956e+19
32,Jammu & Kashmir,Jammu,-1.2848158e+18,8.590012e+18,2.4544103e+19
33,Ladakh,Leh(Ladakh),-4.6885914e+18,-3.049605e+17,6.208123e+18
34,Jammu & Kashmir,Srinagar,8.723222e+17,7.0662435e+18,1.676705e+19
35,Jammu & Kashmir,Punch,-1.3517144e+18,3.5413758e+18,1.4318819e+19
36,Jammu & Kashmir,Kupwara,-8.9058754e+18,1.4587302e+18,6.6489057e+18
37,Jammu & Kashmir,Samba,-5.4525876e+18,7.9300583e+18,1.9965532e+19
38,Jammu & Kashmir,Bandipore,-4.5008962e+18,8.146428e+17,1.1992989e+19
39,Jammu & Kashmir,Kathua,-4.3693256e+18,3.7344566e+18,1.3430792e+19
40,Ladakh,Kargil,-3.47036e+18,-8.834954e+17,2.356961e+18
41,Jammu & Kashmir,Kishtwar,-4.5547156e+18,-4.5052458e+17,6.9404835e+18
42,Gujarat,Sabar Kantha,8.9166913e+18,1.595869e+19,3.1762413e+19
43,Gujarat,Banas Kantha,7.017402e+18,1.6090753e+19,3.741515e+19
44,Gujarat,Surendranagar,1.0779094e+19,2.0565417e+19,6.7065006e+19
45,Gujarat,Anand,2.0962675e+19,3.1433144e+19,7.876336e+19
46,Gujarat,Narmada,7.69851e+18,1.4634514e+19,2.5540892e+19
47,Gujarat,Amreli,8.658803e+18,1.5831356e+19,3.0849084e+19
48,Gujarat,Dohad,9.709917e+18,1.3216146e+19,1.7887388e+19
49,Jammu & Kashmir,Doda,-7.934805e+18,5.4243836e+17,4.8087817e+18
50,Jammu & Kashmir,Pulwama,-4.8658083e+17,5.451935e+18,1.2134678e+19
51,Gujarat,Vadodara,1.0760675e+19,2.8220807e+19,1.1678273e+20
52,Gujarat,Aravali,8.8255704e+18,1.5210816e+19,2.1976827e+19
53,Jammu & Kashmir,Ramban,-8.3185674e+18,1.536996e+18,5.5105104e+18
54,Jammu & Kashmir,Ganderbal,-3.9620305e+18,8.315806e+17,1.6528665e+19
55,Jammu & Kashmir,Udhampur,-2.957614e+18,2.6374455e+18,1.0301127e+19
56,Jammu & Kashmir,Badgam,-3.8010188e+18,5.925685e+18,2.1196482e+19
57,Daman & Diu,Daman,1.3967761e+19,2.1268535e+19,2.6322377e+19
58,Daman & Diu,Diu,,,
59,Gujarat,Bhavnagar,1.0856617e+19,1.9157449e+19,3.1710067e+19
60,Gujarat,Ahmadabad,1.1746119e+19,3.0919056e+19,1.4355252e+20
