latitude,longitude,mean_tropospheric_NO2_column_number_density,min_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
8.45,68.75,3.730340748205052e+18,3.730340748205052e+18,3.730340748205052e+18
8.45,68.85,3.1329734166813343e+18,3.1329734166813343e+18,3.1329734166813343e+18
8.45,68.95,1.1662361616586186e+18,1.1662361616586186e+18,1.1662361616586186e+18
8.45,69.05000000000001,2.4840468954680453e+18,2.4840468954680453e+18,2.4840468954680453e+18
8.45,69.15,2.791867676113746e+18,2.791867676113746e+18,2.791867676113746e+18
8.45,69.25,1.824572116097494e+18,1.824572116097494e+18,1.824572116097494e+18
8.45,69.35,-1.6352431820259768e+18,-1.6352431820259768e+18,-1.6352431820259768e+18
8.45,69.45,3.221358087088837e+18,3.221358087088837e+18,3.221358087088837e+18
8.45,69.55000000000001,3.768083783421582e+18,3.768083783421582e+18,3.768083783421582e+18
8.45,69.65,8.119183050818765e+17,8.119183050818765e+17,8.119183050818765e+17
8.45,69.75,2.5206392453673897e+18,2.5206392453673897e+18,2.5206392453673897e+18
8.45,69.85,3.2839663782037417e+18,3.2839663782037417e+18,3.2839663782037417e+18
8.45,69.95,6.885940587574559e+17,6.885940587574559e+17,6.885940587574559e+17
8.45,70.05000000000001,2.3875594858190715e+18,2.3875594858190715e+18,2.3875594858190715e+18
8.45,70.15,5.524333520965505e+18,5.524333520965505e+18,5.524333520965505e+18
8.45,70.25,6.208713178887913e+18,6.208713178887913e+18,6.208713178887913e+18
8.45,70.35,3.795237477655728e+18,3.795237477655728e+18,3.795237477655728e+18
8.45,70.45,5.546846901116366e+18,5.546846901116366e+18,5.546846901116366e+18
8.45,70.55000000000001,1.4447527841458516e+18,1.4447527841458516e+18,1.4447527841458516e+18
8.45,70.65,2.267800580850473e+18,2.267800580850473e+18,2.267800580850473e+18
8.45,70.75,1.8568015981033626e+18,1.8568015981033626e+18,1.8568015981033626e+18
8.45,70.85,6.59893255608926e+18,6.59893255608926e+18,6.59893255608926e+18
8.45,70.95,5.531463406419557e+18,5.531463406419557e+18,5.531463406419557e+18
8.45,71.05000000000001,4.2170695435781714e+18,4.2170695435781714e+18,4.2170695435781714e+18
8.45,71.15,3.2871879541283277e+18,3.2871879541283277e+18,3.2871879541283277e+18
8.45,71.25,4.4997257339357455e+18,4.4997257339357455e+18,4.4997257339357455e+18
8.45,71.35,7.50437858054024e+18,7.50437858054024e+18,7.50437858054024e+18
8.45,71.45,2.0908244901152783e+18,2.0908244901152783e+18,2.0908244901152783e+18
8.45,71.55000000000001,-7.865338536940347e+17,-7.865338536940347e+17,-7.865338536940347e+17
8.45,71.65,1.3381911055207667e+18,1.3381911055207667e+18,1.3381911055207667e+18
8.45,71.75,4.885228726824212e+18,4.885228726824212e+18,4.885228726824212e+18
8.45,71.85,4.3209662157110323e+18,4.3209662157110323e+18,4.3209662157110323e+18
8.45,71.95,3.347085390433086e+18,3.347085390433086e+18,3.347085390433086e+18
8.45,72.05000000000001,5.500293112534719e+18,5.500293112534719e+18,5.500293112534719e+18
8.45,72.15,5.954397862446041e+18,5.954397862446041e+18,5.954397862446041e+18
8.45,72.25,2.732636537764699e+18,2.732636537764699e+18,2.732636537764699e+18
8.45,72.35,8.447648462532194e+18,8.447648462532194e+18,8.447648462532194e+18
8.45,72.45,8.635982185960715e+18,8.635982185960715e+18,8.635982185960715e+18
8.45,72.55000000000001,7.041511676732789e+18,7.041511676732789e+18,7.041511676732789e+18
8.45,72.65,1.1119998876668533e+19,1.1119998876668533e+19,1.1119998876668533e+19
8.45,72.75,1.3160328370601613e+19,1.3160328370601613e+19,1.3160328370601613e+19
8.45,72.85,8.470127185287397e+18,8.470127185287397e+18,8.470127185287397e+18
8.45,72.95,7.233529346277863e+18,7.233529346277863e+18,7.233529346277863e+18
8.45,73.05000000000001,6.874945479071472e+18,6.874945479071472e+18,6.874945479071472e+18
8.45,73.15,7.209534390818686e+18,7.209534390818686e+18,7.209534390818686e+18
8.45,73.25,6.941592365051202e+18,6.941592365051202e+18,6.941592365051202e+18
8.45,73.35,5.837276092784234e+18,5.837276092784234e+18,5.837276092784234e+18
8.45,73.45,5.280694323942569e+18,5.280694323942569e+18,5.280694323942569e+18
8.45,73.55000000000001,9.849737137496275e+18,9.849737137496275e+18,9.849737137496275e+18
8.45,73.65,4.626652083696213e+18,4.626652083696213e+18,4.626652083696213e+18
8.45,73.75,4.601754098934342e+18,4.601754098934342e+18,4.601754098934342e+18
8.45,73.85,4.163382771112576e+18,4.163382771112576e+18,4.163382771112576e+18
8.45,73.95,7.166646315062676e+18,7.166646315062676e+18,7.166646315062676e+18
8.45,74.05000000000001,8.054378456097368e+18,8.054378456097368e+18,8.054378456097368e+18
8.45,74.15,4.845615765432742e+18,4.845615765432742e+18,4.845615765432742e+18
8.45,74.25,7.879846027420151e+18,7.879846027420151e+18,7.879846027420151e+18
8.45,74.35,6.814295813906331e+18,6.814295813906331e+18,6.814295813906331e+18
