,latitude,longitude,mean_tropospheric_NO2_column_number_density,min_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
29359,18.75,79.45,1.309823009507466e+20,3.2929648469398757e+19,2.724243227369974e+20
29643,18.85,79.45,1.2743216159994275e+20,5.185652984352523e+19,1.6963653456037793e+20
35097,20.75,85.25,1.2968093302385264e+20,4.78913838149174e+19,2.954626795331732e+20
35098,20.75,85.35000000000002,1.3443256525115634e+20,2.809221885180336e+19,2.4777292215413552e+20
35380,20.85,85.15,1.1950285711074096e+20,6.471717076291294e+19,1.978918152503648e+20
35381,20.85,85.25,2.0220577847286582e+20,6.689220421610756e+19,3.3220620397169875e+20
35382,20.85,85.35000000000002,1.491974200731435e+20,5.5901029692297535e+19,2.1119729299534463e+20
35664,20.95,85.15,1.2716071759864663e+20,4.599749508901968e+19,2.6022297936545035e+20
35665,20.95,85.25,1.3429253011333983e+20,4.4280607067480605e+19,2.954826612414667e+20
35947,21.05,85.05000000000003,1.1287038027309503e+20,5.939178498039815e+19,2.2821855468685833e+20
35948,21.05,85.15,1.4423022011199124e+20,7.184897671470433e+19,2.988995360503506e+20
36231,21.15,85.05000000000003,1.2140254093801362e+20,3.910708130482722e+19,3.564093920644778e+20
37925,21.75,84.05000000000003,1.361265347828202e+20,5.075243939687067e+19,2.307239038939721e+20
37926,21.75,84.15,1.505670254445921e+20,4.873734219438949e+19,2.9196647129425953e+20
38477,21.95,82.45,1.2664800589643416e+20,3.3545757943943942e+19,2.5567742225084632e+20
38761,22.05,82.45,1.3146045676900896e+20,3.583451174532516e+19,2.7509500180957096e+20
38762,22.05,82.55000000000003,1.1319153507906154e+20,3.8493558169774735e+19,2.153266234464944e+20
38764,22.05,82.75,1.199202861309383e+20,1.9058580087773626e+19,3.017133129008324e+20
38765,22.05,82.85000000000002,1.1539093519545698e+20,1.9265239020726923e+19,2.842975740343813e+20
38766,22.05,82.95,1.122704725978027e+20,2.1321087949178016e+19,2.102126829661014e+20
39049,22.15,82.85000000000002,1.1603892201741876e+20,1.807114113594012e+19,2.7730419539030527e+20
39332,22.25,82.75,1.2461035272725556e+20,3.121621594127324e+19,3.370845391815765e+20
39333,22.25,82.85000000000002,1.328939403890868e+20,1.7220705292939629e+19,2.4942854550758493e+20
39616,22.35,82.75,1.3743738865858634e+20,4.695966911373674e+19,2.996828799989536e+20
39617,22.35,82.85000000000002,1.1798533271828616e+20,1.9949715640305635e+19,3.1176608221966244e+20
40787,22.75,86.25,1.1848789831773156e+20,4.30628297120057e+19,2.5535894071444288e+20
42501,23.35,87.25,1.1459354413146037e+20,2.96841422589324e+19,2.074421372535092e+20
42503,23.35,87.45,1.1512879774814914e+20,2.132084894114636e+19,1.9195430786352857e+20
42784,23.45,87.15,1.1657512536579156e+20,7.703401601372013e+19,1.6878768036340148e+20
42786,23.45,87.35000000000002,1.1992673155755968e+20,4.333628855451791e+19,1.9866316113327863e+20
42819,23.45,90.65,1.32389973608984e+20,2.1793504049873965e+19,3.573687302423279e+20
43069,23.55,87.25,1.19458329228636e+20,6.0440431547575206e+19,1.648848016309593e+20
43102,23.55,90.55,1.6620681555548488e+20,1.019521617875587e+20,3.062429346059857e+20
43103,23.55,90.65,1.7417208467205236e+20,4.312779401038768e+19,4.058447479739655e+20
43104,23.55,90.75,1.1556565957261029e+20,2.938198349461999e+19,2.5543736806678168e+20
43385,23.65,90.45,1.197116252259364e+20,4.713777801376997e+19,1.6196933994682715e+20
43386,23.65,90.55,2.4029410199213248e+20,1.6312126449196116e+20,4.513029628015447e+20
43387,23.65,90.65,2.2062811191102813e+20,6.783945206666034e+19,3.606608374092203e+20
43388,23.65,90.75,1.2583372729342116e+20,3.690722378570589e+19,3.1731620098333475e+20
43596,23.75,83.15,1.3183783251771708e+20,3.5023311751782765e+19,3.0027465239368e+20
43597,23.75,83.25,1.2654471280449656e+20,3.462443026901888e+19,2.3041476924884124e+20
43598,23.75,83.35000000000002,1.2553034002626893e+20,2.685482360502095e+19,1.8413812659223616e+20
43669,23.75,90.45,1.5886190123493274e+20,9.22446273764934e+19,2.468239302877924e+20
43670,23.75,90.55,2.2009907124024155e+20,1.536704967802336e+20,3.768195019704496e+20
43671,23.75,90.65,1.8714091371649076e+20,6.43153648140707e+19,2.9493855872240334e+20
43878,23.85,82.95,1.2888731225253672e+20,3.0525779844565983e+19,2.5704663146032e+20
43879,23.85,83.05000000000003,1.6018814544032668e+20,3.2243503617080984e+19,2.95237819048826e+20
43880,23.85,83.15,1.7789815420296882e+20,3.6226998155129823e+19,2.677681031144756e+20
43881,23.85,83.25,1.6555322637092972e+20,3.041266465918061e+19,2.8825026888503263e+20
43882,23.85,83.35000000000002,1.3368101349302596e+20,3.532291710127153e+19,2.514775539112404e+20
43952,23.85,90.35,1.1415324389173412e+20,7.150337268250736e+19,1.607229009624062e+20
43953,23.85,90.45,1.5961018881613437e+20,7.02835117621944e+19,2.967063425624432e+20
43954,23.85,90.55,1.3977696506594284e+20,7.137002083525391e+19,2.0928477350925343e+20
43955,23.85,90.65,1.2849809502467092e+20,6.894092488431841e+19,1.83379099009301e+20
44160,23.95,82.75,1.2414737354033976e+20,5.465166049233562e+19,2.117363704403993e+20
44161,23.95,82.85000000000002,1.67165488804739e+20,3.939690118888612e+19,2.7493033009533207e+20
44162,23.95,82.95,1.9393728330380965e+20,2.3217887504151867e+19,2.8918666278065095e+20
44163,23.95,83.05000000000003,1.7369135942148817e+20,2.3396035828052595e+19,2.586821100339768e+20
44164,23.95,83.15,1.39833514176431e+20,2.7594232229735637e+19,2.2325891324362847e+20
44165,23.95,83.25,1.251586006670146e+20,4.013150432357871e+19,2.0538387707489105e+20
44236,23.95,90.35,1.4456489945898633e+20,9.36255249243215e+19,2.305528444760737e+20
44237,23.95,90.45,1.4947324996476784e+20,5.382115392392856e+19,1.983027802750818e+20
44444,24.05,82.75,1.8199299688916225e+20,6.232021016276731e+19,3.2723658975590246e+20
44445,24.05,82.85000000000002,1.8699614240026637e+20,6.737500604786849e+19,3.0927417633802034e+20
44446,24.05,82.95,1.6563059369518947e+20,5.2048349003069874e+19,2.747823293999746e+20
44447,24.05,83.05000000000003,1.3269305764734994e+20,2.7901699225112285e+19,2.4485006290856028e+20
44728,24.15,82.75,1.2999899176677194e+20,6.761606791080125e+19,2.2912658801622653e+20
44729,24.15,82.85000000000002,1.4243046210952272e+20,9.10641056362827e+19,2.3311020941505207e+20
44730,24.15,82.95,1.1597777657743091e+20,5.94019910442256e+19,2.0222166370841743e+20
45089,24.25,90.45,1.1363340209229283e+20,9.205346348431162e+19,1.5719057698972123e+20
46200,24.65,87.95,1.3614172395567448e+20,3.696058012934164e+19,2.8633435965183164e+20
46484,24.750000000000004,87.95,1.4234783116095563e+20,8.459149337735037e+19,2.3360646586800967e+20
56886,28.45,77.35,1.166191746978924e+20,5.123479590850382e+19,2.67578842205489e+20
56887,28.45,77.45,1.2842025384623723e+20,4.486432032410884e+19,3.218798579677029e+20
56888,28.45,77.55000000000003,1.3825121544583584e+20,5.953767348865081e+19,3.635631741405406e+20
57169,28.55,77.25,1.1343402537861272e+20,7.241197137833155e+19,2.0921557772205516e+20
57170,28.55,77.35,1.3684647830778752e+20,6.5200628246695215e+19,3.3022751947172033e+20
57171,28.55,77.45,1.3868799122455736e+20,6.476155954853062e+19,3.59085613375637e+20
57172,28.55,77.55000000000003,1.3850901426844266e+20,6.724879464210068e+19,3.4192564711592736e+20
57452,28.65,77.15,1.2259794997549844e+20,5.015686628629202e+19,2.7554788897066336e+20
57453,28.65,77.25,1.4038287184608905e+20,6.425810533785263e+19,2.7483945406649605e+20
57454,28.65,77.35,1.233716152534667e+20,6.4824266818147254e+19,2.2027353227819788e+20
57455,28.65,77.45,1.1286519140680414e+20,5.383631249482585e+19,2.055959563864728e+20
